"pid","did","lptime","pborough","cnt"
43,233,17,"""Manhattan""",14
43,234,9,"""Manhattan""",19
43,234,10,"""Manhattan""",24
43,234,11,"""Manhattan""",23
43,234,12,"""Manhattan""",31
43,234,13,"""Manhattan""",24
43,234,14,"""Manhattan""",34
43,234,15,"""Manhattan""",29
43,234,16,"""Manhattan""",21
43,234,17,"""Manhattan""",24
43,234,18,"""Manhattan""",15
43,234,19,"""Manhattan""",11
43,236,7,"""Manhattan""",54
43,236,8,"""Manhattan""",76
43,236,9,"""Manhattan""",94
43,236,10,"""Manhattan""",104
43,236,11,"""Manhattan""",98
43,236,12,"""Manhattan""",99
43,236,13,"""Manhattan""",108
43,236,14,"""Manhattan""",112
43,236,15,"""Manhattan""",113
43,236,16,"""Manhattan""",119
43,236,17,"""Manhattan""",92
43,236,18,"""Manhattan""",86
43,236,19,"""Manhattan""",47
43,236,20,"""Manhattan""",24
43,236,21,"""Manhattan""",24
43,236,22,"""Manhattan""",24
43,236,23,"""Manhattan""",11
43,237,0,"""Manhattan""",12
43,237,7,"""Manhattan""",33
43,237,8,"""Manhattan""",61
43,237,9,"""Manhattan""",95
43,237,10,"""Manhattan""",91
43,237,11,"""Manhattan""",88
43,237,12,"""Manhattan""",97
43,237,13,"""Manhattan""",126
43,237,14,"""Manhattan""",112
43,237,15,"""Manhattan""",127
43,237,16,"""Manhattan""",139
43,237,17,"""Manhattan""",83
43,237,18,"""Manhattan""",75
43,237,19,"""Manhattan""",44
43,237,20,"""Manhattan""",24
43,237,21,"""Manhattan""",27
43,237,22,"""Manhattan""",17
43,238,1,"""Manhattan""",11
43,238,7,"""Manhattan""",16
43,238,8,"""Manhattan""",52
43,238,9,"""Manhattan""",42
43,238,10,"""Manhattan""",57
43,238,11,"""Manhattan""",62
43,238,12,"""Manhattan""",50
43,238,13,"""Manhattan""",61
43,238,14,"""Manhattan""",69
43,238,15,"""Manhattan""",103
43,238,16,"""Manhattan""",94
43,238,17,"""Manhattan""",89
43,238,18,"""Manhattan""",43
43,238,19,"""Manhattan""",28
43,238,20,"""Manhattan""",28
43,238,21,"""Manhattan""",30
43,238,22,"""Manhattan""",21
43,238,23,"""Manhattan""",16
43,239,7,"""Manhattan""",20
43,239,8,"""Manhattan""",28
43,239,9,"""Manhattan""",63
43,239,10,"""Manhattan""",49
43,239,11,"""Manhattan""",62
